run_id,p4_program,topology,n_switches,n_entries_per_switch,operation,mode,repetition,schedule_index,success_count,failure_count,wall_clock_s,entries_per_second
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,async,3,116,40,0,0.03058212500764057,1307.9535836704117
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,async,4,115,40,0,0.12009122699964792,333.08011750198267
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,sync,0,134,40,0,0.02027160400757566,1973.2035010673885
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,sync,1,162,40,0,0.04096004299935885,976.5614748164724
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,sync,2,150,40,0,0.030904175015166402,1294.3235009628884
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,sync,3,137,40,0,0.025282585993409157,1582.1166399049323
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,insert,sync,4,135,40,0,0.03404993598815054,1174.7452334101333
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,async,0,112,40,0,0.00742543998057954,5386.886178410412
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,async,1,73,40,0,0.009283192979637533,4308.8622726834465
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,async,2,179,40,0,0.007472187979146838,5353.184383427026
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,async,3,194,40,0,0.0076531700033228844,5226.592377097678
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,async,4,102,40,0,0.021814449020894244,1833.6470456662614
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,sync,0,2,40,0,0.0041103039984591305,9731.640291081922
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,sync,1,61,40,0,0.004076501005329192,9812.336596436056
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,sync,2,48,40,0,0.004352187999757007,9190.779442945319
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,sync,3,110,40,0,0.00482165502035059,8295.906660923149
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,10,read,sync,4,11,40,0,0.004428169981110841,9033.07690775811
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,async,0,80,400,0,0.1401728430064395,2853.619798391505
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,async,1,138,400,0,0.14866284502204508,2690.6521258938933
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,async,2,157,400,0,0.13915068900678307,2874.581526366007
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,async,3,127,400,0,0.1365434970066417,2929.4694274641533
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,async,4,74,400,0,0.14607846600119956,2738.254384439629
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,sync,0,52,400,0,0.19878813001560047,2012.1925789462823
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,sync,1,20,400,0,0.2067467260058038,1934.734386017659
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,sync,2,101,400,0,0.19857639199472032,2014.3381395036881
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,sync,3,59,400,0,0.21626430400647223,1849.5886403334923
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,sync,4,177,400,0,0.21011930800159462,1903.6803604786494
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,async,0,107,400,0,0.022712964011589065,17611.087650026828
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,async,1,71,400,0,0.023881387984147295,16749.445227619268
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,async,2,124,400,0,0.03703944501467049,10799.297879370735
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,async,3,118,400,0,0.023204097989946604,17238.3343740965
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,async,4,188,400,0,0.02442443202016875,16377.044087235907
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,sync,0,83,400,0,0.03627607400994748,11026.55154717993
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,sync,1,91,400,0,0.03670624201186001,10897.329121045885
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,sync,2,86,400,0,0.019579090003389865,20429.958692193824
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,sync,3,39,400,0,0.0344581060053315,11608.299073028284
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,sync,4,32,400,0,0.019997333991341293,20002.666364086195
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,async,0,89,4000,0,1.3609252960013691,2939.176758454474
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,async,1,128,4000,0,1.3653505929978564,2929.650465245947
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,async,2,156,4000,0,1.3681115939980373,2923.7381055377114
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,async,3,45,4000,0,1.330610229022568,3006.1395236216517
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,async,4,197,4000,0,1.3574331790150609,2946.7380507837283
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,sync,0,64,4000,0,1.9869959820061922,2013.0891235931722
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,sync,1,95,4000,0,1.9154871560167521,2088.241619076154
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,sync,2,90,4000,0,2.0006127240194473,1999.3874636384235
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,sync,3,50,4000,0,1.996489945013309,2003.5162260600994
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,sync,4,53,4000,0,1.9691224039997905,2031.3617842522021
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,async,0,96,4000,0,0.21503469598246738,18601.64929070858
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,async,1,79,4000,0,0.2200855059782043,18174.75431751572
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,async,2,149,4000,0,0.22128730101394467,18076.04856524476
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,async,3,72,4000,0,0.21749098500004038,18391.566896435994
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,async,4,93,4000,0,0.20357021599193104,19649.239848321176
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,sync,0,21,4000,0,0.2120038990105968,18867.577524128763
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,sync,1,152,4000,0,0.2148146500112489,18620.703940771906
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,sync,2,70,4000,0,0.214626288972795,18637.04590497309
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,sync,3,185,4000,0,0.20649327500723302,19371.090898044444
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,sync,4,88,4000,0,0.20664499400299974,19356.86862049963
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,async,0,92,80,0,0.04206881098798476,1901.6463294588652
