run_id,p4_program,topology,n_switches,n_entries_per_switch,operation,mode,n_reps,wall_clock_s_median,wall_clock_s_min,wall_clock_s_max,entries_per_second_median,entries_per_second_min,entries_per_second_max
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,insert,sync,5,0.2067467260058038,0.19857639199472032,0.21626430400647223,1934.734386017659,1849.5886403334923,2014.3381395036881
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,async,5,0.023881387984147295,0.022712964011589065,0.03703944501467049,16749.445227619268,10799.297879370735,17611.087650026828
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,100,read,sync,5,0.0344581060053315,0.019579090003389865,0.03670624201186001,11608.299073028284,10897.329121045885,20429.958692193824
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,async,5,1.3609252960013691,1.330610229022568,1.3681115939980373,2939.176758454474,2923.7381055377114,3006.1395236216517
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,insert,sync,5,1.9869959820061922,1.9154871560167521,2.0006127240194473,2013.0891235931722,1999.3874636384235,2088.241619076154
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,async,5,0.21749098500004038,0.20357021599193104,0.22128730101394467,18391.566896435994,18076.04856524476,19649.239848321176
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,4,1000,read,sync,5,0.2120038990105968,0.20649327500723302,0.2148146500112489,18867.577524128763,18620.703940771906,19371.090898044444
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,async,5,0.04785461397841573,0.04059804099961184,0.06259921099990606,1671.7301290129114,1277.9713789063578,1970.5384306785859
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,sync,5,0.04972040301072411,0.045709216996328905,0.06266101100482047,1608.997416669067,1276.7109677474828,1750.1940583761286
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,async,5,0.014494831004412845,0.012256838992470875,0.017136608017608523,5519.208880437764,4668.368437779339,6526.9683357301465
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,sync,5,0.008418660989264026,0.008211467997170985,0.0086699609819334,9502.698837976814,9227.261825826581,9742.472360308973
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,async,5,0.2827530349895824,0.27388743302435614,0.2957281300041359,2829.324184016185,2705.1873624224104,2920.908021102443
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,sync,5,0.41834747599205,0.41221273300470784,0.4264000889961608,1912.2859486672332,1876.1722162942679,1940.7454839364782
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,async,5,0.06173014800879173,0.04599470298853703,0.06204176400206052,12959.631975709217,12894.539877580375,17393.307229299404
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,sync,5,0.04057996498886496,0.03961460100254044,0.05759221999323927,19714.161907717713,13890.765108445406,20194.574216428355
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,1000,insert,async,5,2.6729385379876476,2.657067291002022,2.6993724209896754,2992.960700855805,2963.6518243255023,3010.83831301204
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,1000,insert,sync,5,3.972329390991945,3.9283489110239316,4.063173453003401,2013.9316790147382,1968.9043779528022,2036.4789842241341
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,1000,read,async,5,0.5039125189941842,0.4647384720155969,0.512489615008235,15875.771485034946,15610.072410679875,17213.982662772785
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,1000,read,sync,5,0.42161431099520996,0.4101246789796278,0.4468661900027655,18974.68798228457,17902.450843171846,19506.26336338415
