run_id,p4_program,topology,n_switches,background_load_mbps,rate_mbps,source_workload_type,duration_s,resource_sample_interval_s,metric,n_reps,n_samples_median,n_samples_min,n_samples_max,mean_median,mean_min,mean_max,std_median,std_min,std_max,median_median,median_min,median_max,iqr_median,iqr_min,iqr_max,p5_median,p5_min,p5_max,p95_median,p95_min,p95_max,p99_median,p99_min,p99_max,max_median,max_min,max_max
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,net_io_pps_per_iface,5,601.0,600.0,601.0,689.4961988205174,689.4097247367415,709.318153347836,45.35456542442798,44.98116386877727,461.0129691067791,719.137969240542,710.7092921645788,719.1482550834935,79.23684664922962,70.4860400516585,79.60296811599233,639.6166903610489,639.3648724488319,639.7646034292347,720.7699596536086,720.5253927893083,720.8143400757773,723.6727690837055,721.1363015695906,736.451150471375,792.35460844688,760.028478236186,11958.860776882886
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,rss_per_bmv2_bytes,5,601.0,600.0,601.0,333840384.0,333578240.0,335544320.0,0.0,0.0,0.0,333840384.0,333578240.0,335544320.0,0.0,0.0,0.0,333840384.0,333578240.0,335544320.0,333840384.0,333578240.0,335544320.0,333840384.0,333578240.0,335544320.0,333840384.0,333578240.0,335544320.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,5,601.0,600.0,601.0,663.544758735441,658.4159733777038,671.6770382695507,45.08233959453185,27.676271519363535,70.87123024907393,670.1500000000001,668.0,670.5999999999999,36.39999999999998,22.59999999999991,37.75,561.9,559.5,638.9,709.8,701.8,710.9,721.4,718.8,730.6999999999999,1111.8,740.6999999999999,2086.4
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_total,5,601.0,600.0,601.0,46.04792013311148,45.03910149750416,49.717333333333336,2.9163822094073595,2.140506468646698,3.1488556188563,46.3,45.2,50.3,2.299999999999997,1.8000000000000043,2.6000000000000014,41.9,40.8,43.3,49.7,47.6,52.2,51.0,50.7,54.3,55.6,53.9,61.3
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,5,601.0,600.0,601.0,31258.15278301375,31218.783161977244,31374.165169232845,4439.31631538787,3463.090735584639,7286.107005219538,31075.764690128162,31073.485894278325,31081.278925331026,173.0192632425933,137.1469288762346,180.90030575807032,30877.340527709872,30867.582597760473,30895.568273108966,31279.831544849694,31260.08440638412,31287.09501126932,31370.17070590402,31334.950921641765,31455.92625690528,139871.2135913322,115835.80711640474,209670.94978327598
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,5,601.0,600.0,601.0,336723968.0,336068608.0,337813544.8918469,0.0,0.0,60820.64416673517,336723968.0,336068608.0,337772544.0,0.0,0.0,131072.0,336723968.0,336068608.0,337772544.0,336723968.0,336068608.0,337903616.0,336723968.0,336068608.0,337903616.0,336723968.0,336068608.0,337903616.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,single_switch,1,1,1,resource_only,60.0,0.1,cpu_percent_per_bmv2,5,601.0,601.0,601.0,2.7828618968386025,2.1321131447587356,3.112312811980033,4.781184211318615,4.344208830214112,5.213672551601118,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,20.0,10.1,20.0,20.9,20.2,30.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,single_switch,1,1,1,resource_only,60.0,0.1,cpu_percent_total,5,601.0,601.0,601.0,6.487021630615641,6.43044925124792,6.898835274542429,0.6271347126931104,0.39330390857911024,0.6430515592239082,6.3,6.3,6.9,0.5999999999999996,0.20000000000000018,1.1000000000000005,6.2,6.2,6.2,6.9,6.9,8.0,8.1,7.5,8.8,12.3,10.0,13.1
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,single_switch,1,1,1,resource_only,60.0,0.1,net_io_pps_per_iface,5,601.0,601.0,601.0,86.190252403098,86.17376975826619,95.02747225708266,5.97618891752949,5.955390597922141,213.58402080018496,89.94511729659321,89.92517416888857,89.95280716222805,9.987026176964022,9.965870976986878,10.006397801039299,79.92583920794421,79.91254051929239,79.94819756649329,90.10625868808552,90.09794276332984,90.12791855830976,90.74176860518583,90.60714213950855,91.67449610849889,93.47987917308956,92.8561138464981,5320.9881701577015
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,single_switch,1,1,1,resource_only,60.0,0.1,rss_per_bmv2_bytes,5,601.0,601.0,601.0,41811968.0,41549824.0,42205184.0,0.0,0.0,0.0,41811968.0,41549824.0,42205184.0,0.0,0.0,0.0,41811968.0,41549824.0,42205184.0,41811968.0,41549824.0,42205184.0,41811968.0,41549824.0,42205184.0,41811968.0,41549824.0,42205184.0
