rq,p4_program,packet_size_bytes,background_load_mbps,cold_idle_reference,median_us_rep1,median_us_rep2,delta_us,delta_pct_us,within_5pct_us,within_10pct_us,within_20pct_us,n_samples_rep1,mean_us_rep1,std_us_rep1,p25_us_rep1,p75_us_rep1,p99_us_rep1,p999_us_rep1,n_samples_rep2,mean_us_rep2,std_us_rep2,p25_us_rep2,p75_us_rep2,p99_us_rep2,p999_us_rep2,n_switches,n_entries_per_switch,operation,mode,median_s_rep1,median_s_rep2,delta_s,delta_pct_s,within_5pct_s,within_10pct_s,within_20pct_s,n_reps_rep1,mean_s_rep1,std_s_rep1,p25_s_rep1,p75_s_rep1,median_entries_per_sec_rep1,n_reps_rep2,mean_s_rep2,std_s_rep2,p25_s_rep2,p75_s_rep2,median_entries_per_sec_rep2,abs_mean_us_rep1,abs_mean_us_rep2,p1_us_rep1,abs_p99_us_rep1,per_hop_n_rep1,per_hop_abs_mean_us_rep1,p1_us_rep2,abs_p99_us_rep2,per_hop_n_rep2,per_hop_abs_mean_us_rep2,topology,source_workload_type,metric,mean_rep1,mean_rep2,delta_value,delta_pct_value,within_5pct_value,within_10pct_value,within_20pct_value,max_rep1,std_rep1,p5_rep1,p95_rep1,max_rep2,std_rep2,p5_rep2,p95_rep2
rq1,l3_lpm_int,1500.0,1.0,False,117.0,94.0,-23.0,-19.65811965811966,False,False,True,2000.0,132.891,75.03040650263048,106.0,135.0,414.02,1071.0160000000033,2000.0,105.1985,96.145837709203,89.0,105.0,249.01,1210.5290000001078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_int,1500.0,25.0,False,99.0,90.0,-9.0,-9.090909090909092,False,True,True,2000.0,108.023,37.44467282219703,92.0,111.0,243.06999999999996,394.1710000000349,2000.0,98.6615,92.91404860387895,84.0,100.0,205.07999999999996,621.2350000000479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm_int,1500.0,45.0,False,100.0,90.0,-10.0,-10.0,False,True,True,2000.0,114.5945,47.78561292011515,93.0,118.0,270.01,520.2580000000526,2000.0,103.691,113.30455189329275,85.0,102.0,216.02,1496.2830000000577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,insert,sync,0.0125205829972401,0.0134370735004267,0.0009164905031866007,7.319870834997236,False,True,True,10.0,0.0128074793989071,0.0025206495208377,0.0115714679850498,0.0145576370050548,799.168380027705,10.0,0.0126246949999767,0.0035628183934555,0.0107714107498395,0.0154831587497028,745.4680932263902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,read,sync,0.0015929429937386,0.0011730649994206,-0.00041987799431800004,-26.35863279278791,False,False,False,10.0,0.001620993996039,0.0005085079289141,0.0011894129856955,0.0019653107374324,6277.774500787285,10.0,0.0013296171002366,0.0004066528972932,0.0010383235012341,0.001545085750422,8532.855697165216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,100.0,insert,sync,0.0599406399996951,0.0521537720005653,-0.007786867999129803,-12.990965727375304,False,False,True,10.0,0.059220958201331,0.007885090066312,0.0520079512571101,0.0639374702586792,1669.35021446649,10.0,0.0536431068001547,0.0063211183833649,0.050299321500006,0.0546928612498049,1917.4234333102163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,100.0,read,sync,0.0049028200155589,0.0046887935013728,-0.00021402651418609992,-4.3653757124857835,True,True,True,10.0,0.0064370182080892,0.0038253004678538,0.004848596494412,0.0052777655146201,20396.626296181283,10.0,0.006176160400355,0.0048059847286189,0.0044432902495827,0.0050191367499792,21344.37722507232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1000.0,insert,sync,0.4569740375009132,0.4252911829998993,-0.03168285450101388,-6.93318479848006,False,True,True,10.0,0.4604684411053313,0.0086565480285394,0.4559584000162431,0.4644246655225288,2188.308140297277,10.0,0.4335115667001446,0.0199535104085778,0.4216825910002626,0.4392224947500835,2351.36653873705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1000.0,read,sync,0.0555599249928491,0.0472654454988514,-0.008294479493997697,-14.928888934002787,False,False,True,10.0,0.0512701810919679,0.0081529124561997,0.042605392736732,0.0564353904919698,17998.78924365936,10.0,0.0468490289995315,0.0059219317472873,0.0419263697494898,0.0519950549992245,21264.092646869158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,insert,async,0.0212553760065929,0.0197315525001613,-0.0015238235064315986,-7.169120442559782,False,True,True,10.0,0.0208447906014043,0.003957513371339,0.0180014342404319,0.0240030649947584,940.9874366046369,10.0,0.019062797299739,0.0031058228723076,0.0182968109993453,0.020864884749244,1013.6622082237265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
