p4_program,topology,n_switches,background_load_mbps,source_workload_type,metric,n_samples,mean,max,std,p5,p95
l3_lpm_int,single_switch,1,25,latency_l3,rss_per_bmv2_bytes,3865,42682231.81992238,42991616.0,183082.40426409864,42467328.0,42991616.0
l3_lpm_int,single_switch,1,45,latency_l3,cpu_percent_per_bmv2,3865,34.559353169469595,80.0,7.206467871858393,20.0,40.1
l3_lpm_int,single_switch,1,45,latency_l3,cpu_percent_total,3865,14.072781371280724,31.3,2.2427809540689556,11.9,18.1
l3_lpm_int,single_switch,1,45,latency_l3,net_io_pps_per_iface,3865,3916.4369471691557,31377.667595097155,618.2650677132865,3874.494359061071,3928.106237390805
l3_lpm_int,single_switch,1,45,latency_l3,rss_per_bmv2_bytes,3865,42860137.04941785,42991616.0,152431.42934306312,42598400.0,42991616.0
l3_lpm_int_chain,linear_n,2,0,int_multihop,cpu_percent_per_bmv2,654,2.84388379204893,30.1,5.208799618805085,0.0,10.0
l3_lpm_int_chain,linear_n,2,0,int_multihop,cpu_percent_total,654,0.9209480122324158,7.2,0.91852052643199,0.0,1.9
l3_lpm_int_chain,linear_n,2,0,int_multihop,net_io_pps_per_iface,654,32.632369412152876,79.97239113251904,13.921319764566926,0.0,59.91380376255934
l3_lpm_int_chain,linear_n,2,0,int_multihop,rss_per_bmv2_bytes,654,87684362.17737003,87687168.0,26995.763667981235,87687168.0,87687168.0
l3_lpm_int_chain,linear_n,2,25,int_multihop,cpu_percent_per_bmv2,644,46.30357142857143,70.0,8.584566225017861,30.0,60.0
l3_lpm_int_chain,linear_n,2,25,int_multihop,cpu_percent_total,644,14.338354037267083,22.4,1.4370149287905392,12.9,16.4
l3_lpm_int_chain,linear_n,2,25,int_multihop,net_io_pps_per_iface,644,4342.701312553268,4442.840287975581,172.29178067553943,4319.720520315162,4379.555295225057
l3_lpm_int_chain,linear_n,2,25,int_multihop,rss_per_bmv2_bytes,644,88604672.0,88604672.0,0.0,88604672.0,88604672.0
l3_lpm_int_chain,linear_n,2,45,int_multihop,cpu_percent_per_bmv2,644,72.25077639751552,100.0,8.293051074865541,60.0,89.885
l3_lpm_int_chain,linear_n,2,45,int_multihop,cpu_percent_total,644,13.473136645962734,25.2,1.2877972947766838,12.3,15.0
l3_lpm_int_chain,linear_n,2,45,int_multihop,net_io_pps_per_iface,644,7827.3245486831065,23781.356837096984,630.1016430612409,7762.439977117199,7839.969130295485
l3_lpm_int_chain,linear_n,2,45,int_multihop,rss_per_bmv2_bytes,644,88355553.78881988,88473600.0,130524.52811204839,88211456.0,88473600.0
l3_lpm_int_chain,linear_n,3,0,int_multihop,cpu_percent_per_bmv2,654,3.8556574923547404,30.200000000000003,6.302523142288217,0.0,20.0
l3_lpm_int_chain,linear_n,3,0,int_multihop,cpu_percent_total,654,0.9949541284403669,14.3,1.180672160821205,0.0,3.1
l3_lpm_int_chain,linear_n,3,0,int_multihop,net_io_pps_per_iface,654,48.95093011958402,119.6150989285047,20.851234993363672,0.0,89.92600415921923
l3_lpm_int_chain,linear_n,3,0,int_multihop,rss_per_bmv2_bytes,654,131854223.26605505,131858432.0,40493.64550197188,131858432.0,131858432.0
l3_lpm_int_chain,linear_n,3,25,int_multihop,cpu_percent_per_bmv2,643,67.85412130637636,100.0,9.107408283169926,60.0,80.0
l3_lpm_int_chain,linear_n,3,25,int_multihop,cpu_percent_total,643,14.121461897356143,21.0,1.2068494976568227,12.5,16.2
l3_lpm_int_chain,linear_n,3,25,int_multihop,net_io_pps_per_iface,643,6553.028251005258,25031.75955485966,730.4347490138291,6479.457933788018,6569.450840187935
l3_lpm_int_chain,linear_n,3,25,int_multihop,rss_per_bmv2_bytes,643,132636710.22083981,132644864.0,45543.451728916814,132644864.0,132644864.0
l3_lpm_int_chain,linear_n,3,45,int_multihop,cpu_percent_per_bmv2,645,119.1213953488372,190.3,12.761048357906786,100.0,140.0
l3_lpm_int_chain,linear_n,3,45,int_multihop,cpu_percent_total,645,18.432713178294573,28.3,1.625256669618595,16.5,20.85999999999999
l3_lpm_int_chain,linear_n,3,45,int_multihop,net_io_pps_per_iface,645,11754.575721465964,43596.41671944617,1257.0821639418346,11643.182270273286,11759.219987598615
l3_lpm_int_chain,linear_n,3,45,int_multihop,rss_per_bmv2_bytes,645,133092134.49922481,133169152.0,105383.01083972122,132907008.0,133169152.0
