run_id,p4_program,topology,n_switches,background_load_mbps,rate_mbps,source_workload_type,duration_s,resource_sample_interval_s,metric,repetition,schedule_index,n_samples,mean,std,median,iqr,p5,p95,p99,max
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_per_bmv2,3,12,600,12.233666666666666,10.714607065271261,10.0,20.0,0.0,30.0,40.0,50.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_per_bmv2,4,5,601,12.726955074875207,10.652535169916677,10.0,20.0,0.0,30.0,40.0,60.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_total,0,20,600,7.583666666666667,0.908887607661782,7.5,1.1999999999999993,6.3,8.904999999999996,9.906999999999995,16.5
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_total,1,10,601,7.325291181364393,0.5975443833491382,7.5,0.5999999999999996,6.3,8.1,8.7,13.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_total,2,19,601,7.055074875207987,0.5949327996093559,6.9,0.5999999999999996,6.3,8.1,8.6,13.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_total,3,12,600,6.985666666666666,0.5870283007931637,6.9,0.5999999999999996,6.3,7.5,8.203999999999995,11.9
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,cpu_percent_total,4,5,601,7.627287853577371,0.7882390491905897,7.5,1.1999999999999993,6.8,8.7,9.8,15.4
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,net_io_pps_per_iface,0,20,600,689.4953031915337,45.389154255644144,719.0537738753962,79.23684664922962,639.7646034292347,720.5707231930403,736.451150471375,792.35460844688
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,net_io_pps_per_iface,1,10,601,689.5276326061987,45.35456542442798,719.137969240542,78.99698393595588,639.7065731109858,720.5253927893083,721.1363015695906,812.4242832401292
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,net_io_pps_per_iface,2,19,601,689.4097247367415,44.98116386877727,719.1482550834935,79.60296811599233,639.6166903610489,720.8143400757773,722.4622717270954,765.2434340192364
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,net_io_pps_per_iface,3,12,600,689.4961988205174,45.16784221557265,710.7092921645788,70.4860400516585,639.3648724488319,720.7699596536086,723.6727690837055,760.028478236186
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,net_io_pps_per_iface,4,5,601,709.318153347836,461.0129691067791,719.140109879098,79.43817714377872,639.4473511482137,720.7875828145036,731.7500173191207,11958.860776882886
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,rss_per_bmv2_bytes,0,20,600,333578240.0,0.0,333578240.0,0.0,333578240.0,333578240.0,333578240.0,333578240.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,rss_per_bmv2_bytes,1,10,601,333578240.0,0.0,333578240.0,0.0,333578240.0,333578240.0,333578240.0,333578240.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,rss_per_bmv2_bytes,2,19,601,335544320.0,0.0,335544320.0,0.0,335544320.0,335544320.0,335544320.0,335544320.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,rss_per_bmv2_bytes,3,12,600,334757888.0,0.0,334757888.0,0.0,334757888.0,334757888.0,334757888.0,334757888.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,1,1,resource_only,60.0,0.1,rss_per_bmv2_bytes,4,5,601,333840384.0,0.0,333840384.0,0.0,333840384.0,333840384.0,333840384.0,333840384.0
